Nona,112200,250,112200
Lauralee,112201,400,112201
Melvin,112202,400,112202
Jeffie,112203,250,112203
Jeannie,112204,154,112204
Rosamond,112205,320,112205
Branden,112206,250,112206
Gilbert,112207,40,112207
Anastasia,112208,650,112208
Sammie,112209,520,112209
Taryn,112210,660,112210
Gabriella,112211,770,112211
Tina,112212,210,112212
Danyel,112213,70,112213
Arnette,112214,560,112214
Clint,112215,780,112215
Kary,112216,980,112216
Tenisha,112217,50,112217
Marisol,112218,260,112218
Nelle,112219,20,112219
